0x1000 {}
0x125b {4081,4081,23,23,3,3}
0x125c {1082,30,28,3,3}
0x125d {498,498,22,22,3,3}
0x125e {155,155,5,5,3,3}
0x125f {8178,124,16,6,3,3,1}
0x1261 {1010,1010,10,10}
0x1262 {1351,1351,26,26}
0x1263 {8178,28,28,13,4}
0x1264 {50,50,3,3}
0x1265 {8178,72,25,6,3}
0x1266 {1892,112,35,7,3}
0x1267 {1257,1257,17,17,4,4}
0x1269 {204,204,25,4,3}
0x126a {7988,151,14,7,7}
0x126b {4082,4082,4,4,4,4}
0x126c {7892,96,3,3,3}
0x126d {491,491,3,3,3,3}
0x126e {242,242,27,27,3,3}
0x126f {1772,139,28,4,3,3,1}
0x1271 {8178,150,32,9,4}
0x1272 {7148,194,34,8,8}
0x1273 {2591,2591,20,20,3,3}
0x1274 {638,36,20,3,3}
0x1275 {242,242,10,10,4,4}
0x1276 {4081,4081,18,18,3,3}
0x1277 {917,11,11,11,6,3,1}
0x1279 {3557,3557,18,18,4,4}
0x127a {1010,1010,8,8,3,3}
0x127b {2654,74,29,7,5,3,1}
0x127c {2031,2031,20,20,3,3}
0x127d {1511,99,37,9,3,3,1}
0x127e {7148,52,17,6,3,3,1}
0x127f {50,50,11,11,1,1,1,1}
0x1281 {3053,129,30}
0x1282 {7988,160,28}
0x1283 {2031,2031,10,10}
0x1285 {3924,3924,10,10}
0x1286 {3053,3053,28,28}
0x1287 {302,302,24,9,5}
0x1289 {4081,4081,24,24}
0x128a {4082,4082,12,12}
0x128b {8178,182,6,6,6}
0x128c {3543,3543,9,9}
0x128d {92,92,23,18,5}
0x128e {8178,24,24,7,6}
0x128f {1010,1010,6,6,5,5}
0x1291 {29,29,15,15}
0x1292 {235,235,11,11}
0x1293 {6128,136,27,8,4}
0x1294 {17,17,5,5}
0x1295 {7892,124,17,5,5}
0x1296 {8178,104,25,8,3}
0x1297 {3557,3557,12,12,3,3}
0x1299 {7988,77,30,9,3}
0x129a {638,638,15,15,5}
